OUT,Taxonomy,WYCO_0923_05_PR_D1_B_C01_XT,WYCO_0923_05_PR_D1_B_C04_XT,WYCO_0923_05_PR_D2_B_C04_XT,WYCO_0923_05_PR_D3_B_C04_XT,WYCO_0923_05_PR_D1_B_C05_XT,WYCO_0923_05_PR_D2_B_C05_XT,WYCO_0923_05_PR_D3_B_C05_XT,WYCO_0923_06_PR_D1_B_C01_XT,WYCO_0923_06_PR_D2_B_C01_XT,WYCO_0923_06_PR_D3_B_C01_XT,WYCO_0923_06_PR_D1_B_C02_XT,WYCO_0923_05_PR_D2_B_C01_XT,WYCO_0923_06_PR_D2_B_C02_XT,WYCO_0923_06_PR_D3_B_C02_XT,WYCO_0923_06_PR_D1_B_C03_XT,WYCO_0923_06_PR_D2_B_C03_XT,WYCO_0923_06_PR_D3_B_C03_XT,WYCO_0923_06_PR_D1_B_C04_XT,WYCO_0923_06_PR_D2_B_C04_XT,WYCO_0923_06_PR_D3_B_C04_XT,WYCO_0923_06_PR_D1_B_C05_XT,WYCO_0923_06_PR_D3_B_C05_XT,WYCO_0923_05_PR_D3_B_C01_XT,WYCO_0923_06_PR_D2_B_C05_XT,WYCO_0923_013_AD_D3_B_C01_XT,WYCO_0923_013_AD_D1_B_C01_XT,WYCO_0923_013_AD_D2_B_C01_XT,WYCO_0923_013_AD_D3_B_C02_XT,WYCO_0923_013_AD_D1_B_C02_XT,WYCO_0923_013_AD_D2_B_C02_XT,WYCO_0923_013_AD_D1_B_C03_XT,WYCO_0923_013_AD_D2_B_C03_XT,WYCO_0923_05_PR_D1_B_C02_XT,WYCO_0923_013_AD_D3_B_C04_XT,WYCO_0923_013_AD_D1_B_C04_XT,WYCO_0923_013_AD_D2_B_C04_XT,WYCO_0923_013_AD_D3_B_C05_XT,WYCO_0923_013_AD_D1_B_C05_XT,WYCO_0923_013_AD_D2_B_C05_XT,WYCO_0923_015_AD_D3_B_C01_XT,WYCO_0923_015_AD_D1_B_C01_XT,WYCO_0923_015_AD_D2_B_C01_XT,WYCO_0923_015_AD_D3_B_C02_XT,WYCO_0923_05_PR_D2_B_C02_XT,WYCO_0923_015_AD_D1_B_C02_XT,WYCO_0923_015_AD_D2_B_C02_XT,WYCO_0923_015_AD_D3_B_C03_XT,WYCO_0923_015_AD_D1_B_C03_XT,WYCO_0923_015_AD_D2_B_C03_XT,WYCO_0923_015_AD_D3_B_C04_XT,WYCO_0923_015_AD_D1_B_C04_XT,WYCO_0923_015_AD_D2_B_C04_XT,WYCO_0923_015_AD_D2_B_C05_XT,WYCO_0923_015_AD_D3_B_C05_XT,WYCO_0923_05_PR_D3_B_C02_XT,WYCO_0923_015_AD_D1_B_C05_XT,WYCO_0923_016_AD_D2_B_C01_XT,WYCO_0923_016_AD_D3_B_C01_XT,WYCO_0923_016_AD_D1_B_C01_XT,WYCO_0923_016_AD_D2_B_C02_XT,WYCO_0923_016_AD_D3_B_C02_XT,WYCO_0923_016_AD_D1_B_C02_XT,WYCO_0923_016_AD_D2_B_C03_XT,WYCO_0923_016_AD_D3_B_C03_XT,WYCO_0923_016_AD_D1_B_C03_XT,WYCO_0923_05_PR_D1_B_C03_XT,WYCO_0923_016_AD_D2_B_C04_XT,WYCO_0923_016_AD_D3_B_C04_XT,WYCO_0923_016_AD_D1_B_C04_XT,WYCO_0923_016_AD_D2_B_C05_XT,WYCO_0923_016_AD_D3_B_C05_XT,WYCO_0923_016_AD_D1_B_C05_XT,WYCO_0923_019_PR_D2_B_C01_XT,WYCO_0923_019_PR_D3_B_C01_XT,WYCO_0923_019_PR_D1_B_C01_XT,WYCO_0923_019_PR_D2_B_C02_XT,WYCO_0923_05_PR_D2_B_C03_XT,WYCO_0923_019_PR_D1_B_C02_XT,WYCO_0923_019_PR_D2_B_C03_XT,WYCO_0923_019_PR_D3_B_C03_XT,WYCO_0923_019_PR_D1_B_C03_XT,WYCO_0923_019_PR_D1_B_C04_XT,WYCO_0923_019_PR_D2_B_C04_XT,WYCO_0923_019_PR_D3_B_C04_XT,WYCO_0923_019_PR_D1_B_C05_XT,WYCO_0923_019_PR_D2_B_C05_XT,WYCO_0923_05_PR_D3_B_C03_XT,WYCO_0923_019_PR_D3_B_C05_XT
09f654020419000b93f5d55f1e44783c,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Marasmius;s__Marasmius_oreades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4204,8500,15390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7f5f3fd1bea6a781f40b4d147341c849,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_aeria,0,10,0,0,0,0,43,37,5,11,227,0,0,80,565,1611,229,166,0,34,187,29,0,18,1482,271,829,940,1147,757,1808,846,0,1599,940,214,292,1658,1271,0,18,0,0,0,0,9,9,24,13,0,9,17,0,0,0,0,306,109,834,646,103,0,0,0,144,0,265,136,344,224,0,45,0,10,68,140,0,0,221,0,7,72,48,9,83,13,9,6
22bc638fbe8e29b9228e751e0a7d2dcd,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_rishikesha,0,0,0,0,0,0,20,0,0,0,957,0,98,336,1128,714,108,337,0,51,400,0,0,0,0,0,0,840,1491,490,29,0,0,1602,750,499,77,308,898,0,0,0,0,0,0,0,0,185,54,0,0,0,0,0,0,460,0,0,128,54,0,0,0,0,56,0,165,0,323,35,0,47,112,54,1244,273,0,988,337,0,24,528,162,0,1059,1038,0,72
41451ad73684c29489885892dc8d7405,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium;s__Ceratobasidium_sp,0,0,119,182,0,682,0,218,328,0,0,0,0,0,0,0,0,0,0,0,42,687,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,34,516,0,291,361,0,468,6153,0,0,0,0,0,113,449,0,339
7f51b4c36b78e7ce4b3685acdc5fc34a,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,48,0,361,1294,2059,885,772,504,0,1807,487,314,198,1208,1391,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,55,52,0,0,0,10,0,133,0,58,89,116,148,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e35873410b6b9f4c69aed0e405466d6,k__Fungi;p__Basidiomycota;c__Agaricomycotina_cls_Incertae_sedis;o__unidentified;f__unidentified;g__unidentified;s__Agaricomycotina_cls_Incertae_sedis_sp,0,0,0,0,0,0,0,0,0,0,40,0,29,0,51,96,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,298,0,279,637,0,0,7108,177,0,729,144,161,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252
951aa73c8f957881a45259845dc7502e,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Podila,0,0,0,0,0,0,9,0,0,0,221,0,0,82,0,134,262,61,183,50,19,292,0,131,202,58,0,0,0,0,0,0,0,1966,0,77,62,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,201,0,469,262,0,0,0,0,0,659,0,256,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2119,0,217
9aa22afaadae7c290ee8252a12d7c83b,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,36,82,21,9,18,112,120,0,0,7,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,779,1616,0,625,0,0,1418,381,0,301,516,1381,172,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20854e6ee1519871fd9e3617ae3eb38f,k__Fungi;p__Basidiomycota;c__Agaricomycotina_cls_Incertae_sedis;o__unidentified;f__unidentified;g__unidentified;s__Agaricomycotina_cls_Incertae_sedis_sp,62,0,536,882,0,99,0,0,0,0,0,36,253,852,0,0,64,0,488,2037,0,1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0
0665308dc087cfd03de22c48bd0d22e2,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,22,71,158,418,1321,98,45,0,100,2005,15,32,1247,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,10,0,0,0,35,0,0,0,0,48,97,172,0,592,23,0,0,416,206,0,113,0,0,0
